Datum;Uhrzeit;T-DHT22;FR-DHT22;FA-DHT22;CO2-PASCO2
2021.01.28;00:00:14;21,8;39,6;7,6;1161
2021.01.28;00:00:32;21,8;39,3;7,5;1139
2021.01.28;00:00:51;21,8;39,6;7,6;1179
2021.01.28;00:01:09;21,8;39,8;7,6;1152
2021.01.28;00:01:37;21,7;39,7;7,6;1201
2021.01.28;00:01:55;21,7;39,5;7,5;1174
2021.01.28;00:02:13;21,7;39,4;7,5;1209
2021.01.28;00:02:32;21,7;39,4;7,5;1165
2021.01.28;00:03:00;21,6;39,0;7,4;1136
2021.01.28;00:03:18;21,6;39,2;7,4;1105
2021.01.28;00:03:36;21,5;37,4;7,1;1060
2021.01.28;00:03:54;21,5;37,8;7,1;1030
2021.01.28;00:04:22;21,4;37,5;7,0;972
2021.01.28;00:04:41;21,4;37,4;7,0;955
2021.01.28;00:04:59;21,4;37,3;7,0;924
2021.01.28;00:05:17;21,3;37,1;6,9;913
2021.01.28;00:05:45;21,3;37,2;6,9;890
2021.01.28;00:06:04;21,3;37,2;6,9;841
2021.01.28;00:06:22;21,2;37,1;6,9;831
2021.01.28;00:06:40;21,2;37,0;6,9;831
2021.01.28;00:07:08;21,1;37,2;6,9;809
2021.01.28;00:07:26;21,2;37,1;6,9;809
2021.01.28;00:07:45;21,1;37,0;6,8;801
2021.01.28;00:08:03;21,2;37,0;6,9;796
2021.01.28;00:08:31;21,1;37,4;6,9;783
2021.01.28;00:08:49;21,0;37,0;6,8;787
2021.01.28;00:09:08;21,1;37,0;6,8;776
2021.01.28;00:09:26;21,0;37,0;6,8;774
2021.01.28;00:09:54;21,0;37,0;6,8;766
2021.01.28;00:10:12;21,0;36,9;6,8;763
2021.01.28;00:10:30;21,0;36,9;6,8;754
2021.01.28;00:10:49;21,0;36,8;6,7;756
2021.01.28;00:11:17;21,0;37,1;6,8;758
2021.01.28;00:11:35;21,0;37,0;6,8;752
2021.01.28;00:11:53;21,0;36,8;6,7;736
2021.01.28;00:12:11;20,9;36,7;6,7;741
2021.01.28;00:12:39;20,9;37,0;6,7;745
2021.01.28;00:12:58;20,9;36,8;6,7;727
2021.01.28;00:13:16;20,9;36,6;6,7;727
2021.01.28;00:13:34;20,9;36,6;6,7;723
2021.01.28;00:14:02;20,9;36,8;6,7;718
2021.01.28;00:14:20;20,9;36,7;6,7;726
2021.01.28;00:14:39;20,9;36,6;6,7;716
2021.01.28;00:14:57;20,9;36,6;6,7;711
2021.01.28;00:15:25;20,9;36,0;6,6;684
2021.01.28;00:15:43;20,8;36,5;6,6;710
2021.01.28;00:16:02;20,8;36,7;6,6;711
2021.01.28;00:16:20;20,9;36,6;6,7;673
2021.01.28;00:16:48;20,8;36,9;6,7;698
2021.01.28;00:17:06;20,8;36,7;6,6;706
2021.01.28;00:17:24;20,8;35,5;6,4;714
2021.01.28;00:17:43;20,8;36,5;6,6;700
2021.01.28;00:18:11;20,8;36,9;6,7;695
2021.01.28;00:18:29;20,8;36,6;6,6;690
2021.01.28;00:18:47;20,8;36,8;6,7;698
2021.01.28;00:19:06;20,8;36,6;6,6;692
2021.01.28;00:19:34;20,8;36,9;6,7;689
2021.01.28;00:19:52;20,8;36,6;6,6;697
2021.01.28;00:20:10;20,8;36,6;6,6;696
2021.01.28;00:20:28;20,8;36,5;6,6;689
2021.01.28;00:20:56;20,8;36,6;6,6;675
2021.01.28;00:21:15;20,8;36,8;6,7;683
2021.01.28;00:21:33;20,7;36,5;6,6;683
2021.01.28;00:21:51;20,7;36,4;6,6;681
2021.01.28;00:22:19;20,8;36,7;6,6;676
2021.01.28;00:22:37;20,7;36,5;6,6;675
2021.01.28;00:22:56;20,7;36,5;6,6;672
2021.01.28;00:23:14;20,7;36,5;6,6;646
2021.01.28;00:23:42;20,7;36,7;6,6;677
2021.01.28;00:24:00;20,7;36,5;6,6;677
2021.01.28;00:24:19;20,7;36,3;6,5;648
2021.01.28;00:24:37;20,7;36,4;6,6;679
2021.01.28;00:25:05;20,7;36,5;6,6;675
2021.01.28;00:25:23;20,7;36,3;6,5;632
2021.01.28;00:25:41;20,7;36,4;6,6;678
2021.01.28;00:26:00;20,7;36,2;6,5;641
2021.01.28;00:26:28;20,7;36,6;6,6;668
2021.01.28;00:26:46;20,7;36,6;6,6;661
2021.01.28;00:27:04;20,7;36,3;6,5;658
2021.01.28;00:27:23;20,7;36,3;6,5;667
2021.01.28;00:27:50;20,7;36,6;6,6;659
2021.01.28;00:28:09;20,7;36,6;6,6;658
2021.01.28;00:28:27;20,7;36,7;6,6;631
2021.01.28;00:28:45;20,7;36,7;6,6;662
2021.01.28;00:29:13;20,7;36,7;6,6;661
2021.01.28;00:29:32;20,7;36,4;6,6;656
2021.01.28;00:29:50;20,7;36,4;6,6;660
2021.01.28;00:30:08;20,7;36,6;6,6;635
2021.01.28;00:30:36;20,7;36,5;6,6;657
2021.01.28;00:30:54;20,7;36,4;6,6;625
2021.01.28;00:31:13;20,7;36,5;6,6;626
2021.01.28;00:31:31;20,7;36,4;6,6;646
2021.01.28;00:31:59;20,6;36,5;6,5;654
2021.01.28;00:32:17;20,6;36,4;6,5;646
2021.01.28;00:32:36;20,7;36,6;6,6;649
2021.01.28;00:32:54;20,6;36,3;6,5;654
2021.01.28;00:33:22;20,7;36,5;6,6;656
2021.01.28;00:33:40;20,6;36,3;6,5;649
