Datum;Uhrzeit;T-DHT22;FR-DHT22;FA-DHT22;CO2-CCS811;CO2-PASCO2
2021.01.25;00:00:55;24,2;36,8;8,1;400;963
2021.01.25;00:01:14;24,2;37,5;8,3;403;965
2021.01.25;00:01:32;24,2;37,6;8,3;408;1001
2021.01.25;00:01:51;24,2;37,3;8,2;400;998
2021.01.25;00:02:19;24,1;37,6;8,2;400;997
2021.01.25;00:02:37;24,2;37,6;8,3;405;989
2021.01.25;00:02:56;24,2;37,7;8,3;400;956
2021.01.25;00:03:14;24,1;37,6;8,2;400;962
2021.01.25;00:03:42;24,1;37,6;8,2;405;990
2021.01.25;00:04:01;24,2;37,5;8,3;400;993
2021.01.25;00:04:19;24,1;37,1;8,1;403;1000
2021.01.25;00:04:38;24,1;37,6;8,2;405;957
2021.01.25;00:05:06;24,2;37,2;8,2;405;986
2021.01.25;00:05:25;24,1;37,5;8,2;408;991
2021.01.25;00:05:43;24,1;37,5;8,2;400;993
2021.01.25;00:06:02;24,2;37,8;8,3;402;993
2021.01.25;00:06:30;24,2;37,8;8,3;400;996
2021.01.25;00:06:48;24,2;37,4;8,2;402;997
2021.01.25;00:07:07;24,1;37,5;8,2;400;987
2021.01.25;00:07:25;24,1;37,6;8,2;402;989
2021.01.25;00:07:53;24,1;36,4;8,0;406;960
2021.01.25;00:08:12;24,1;37,6;8,2;400;987
2021.01.25;00:08:30;24,2;37,6;8,3;400;961
2021.01.25;00:08:49;24,1;37,6;8,2;403;947
2021.01.25;00:09:17;24,2;37,4;8,2;403;954
2021.01.25;00:09:36;24,1;36,2;7,9;405;990
2021.01.25;00:09:54;24,2;37,2;8,2;408;961
2021.01.25;00:10:13;24,2;37,0;8,1;405;950
2021.01.25;00:10:41;24,1;37,2;8,1;405;954
2021.01.25;00:10:59;24,1;37,0;8,1;405;945
2021.01.25;00:11:18;24,1;37,2;8,1;403;983
2021.01.25;00:11:36;24,0;37,3;8,1;408;984
2021.01.25;00:12:04;24,1;37,3;8,2;400;990
2021.01.25;00:12:23;24,1;37,1;8,1;408;973
2021.01.25;00:12:41;24,1;37,2;8,1;408;978
2021.01.25;00:13:00;24,1;37,1;8,1;408;969
2021.01.25;00:13:28;24,0;37,4;8,1;403;971
2021.01.25;00:13:46;24,0;37,0;8,1;423;971
2021.01.25;00:14:05;24,0;37,2;8,1;403;970
2021.01.25;00:14:23;24,0;37,1;8,1;405;949
2021.01.25;00:14:52;24,0;37,0;8,1;408;968
2021.01.25;00:15:10;24,0;37,0;8,1;400;940
2021.01.25;00:15:29;24,0;37,1;8,1;403;975
2021.01.25;00:15:47;24,0;37,1;8,1;403;947
2021.01.25;00:16:15;24,0;37,3;8,1;405;975
2021.01.25;00:16:34;24,0;37,1;8,1;400;916
2021.01.25;00:16:52;24,0;37,2;8,1;405;934
2021.01.25;00:17:11;23,9;37,1;8,0;400;970
2021.01.25;00:17:39;24,0;37,2;8,1;408;948
2021.01.25;00:17:57;23,9;37,0;8,0;408;949
2021.01.25;00:18:16;24,0;37,2;8,1;408;972
2021.01.25;00:18:34;24,0;37,2;8,1;403;946
2021.01.25;00:19:02;24,0;37,2;8,1;400;931
2021.01.25;00:19:21;23,9;37,0;8,0;407;912
2021.01.25;00:19:39;23,9;37,2;8,1;403;933
2021.01.25;00:19:58;23,9;37,2;8,1;405;981
2021.01.25;00:20:26;23,9;37,4;8,1;411;945
2021.01.25;00:20:45;23,9;37,1;8,0;408;968
2021.01.25;00:21:03;23,9;37,2;8,1;405;971
2021.01.25;00:21:22;23,9;37,0;8,0;405;950
2021.01.25;00:21:50;23,9;37,3;8,1;408;969
2021.01.25;00:22:08;23,9;37,1;8,0;403;939
2021.01.25;00:22:27;23,9;37,0;8,0;403;947
2021.01.25;00:22:45;23,9;37,0;8,0;403;914
2021.01.25;00:23:13;23,9;36,0;7,8;408;915
2021.01.25;00:23:32;23,9;37,1;8,0;408;947
2021.01.25;00:23:50;23,9;37,1;8,0;403;913
2021.01.25;00:24:09;23,9;36,8;8,0;400;979
2021.01.25;00:24:37;23,9;37,2;8,1;403;913
2021.01.25;00:24:56;23,9;37,1;8,0;400;941
2021.01.25;00:25:14;23,9;36,7;7,9;405;949
2021.01.25;00:25:33;23,9;36,9;8,0;400;949
2021.01.25;00:26:01;23,9;37,2;8,1;405;949
2021.01.25;00:26:19;24,0;36,1;7,9;402;946
2021.01.25;00:26:38;24,0;36,9;8,0;406;942
2021.01.25;00:26:56;24,0;37,0;8,1;408;936
2021.01.25;00:27:24;24,0;37,2;8,1;403;978
2021.01.25;00:27:43;24,0;37,4;8,1;400;949
2021.01.25;00:28:01;24,0;37,0;8,1;405;931
2021.01.25;00:28:20;24,0;36,5;7,9;408;947
2021.01.25;00:28:48;24,0;37,3;8,1;403;979
2021.01.25;00:29:06;24,0;37,0;8,1;408;914
2021.01.25;00:29:25;24,0;36,9;8,0;407;967
2021.01.25;00:29:43;24,0;36,9;8,0;405;972
2021.01.25;00:30:12;24,0;37,1;8,1;400;940
2021.01.25;00:30:30;24,0;36,8;8,0;407;971
2021.01.25;00:30:49;24,0;37,0;8,1;403;936
2021.01.25;00:31:07;24,0;37,0;8,1;400;933
2021.01.25;00:31:35;23,9;36,9;8,0;400;936
2021.01.25;00:31:54;24,0;36,7;8,0;400;943
2021.01.25;00:32:12;24,0;36,8;8,0;400;933
2021.01.25;00:32:31;24,0;37,0;8,1;400;947
2021.01.25;00:32:59;24,1;37,1;8,1;407;940
2021.01.25;00:33:17;24,0;36,8;8,0;403;950
2021.01.25;00:33:36;24,0;36,3;7,9;403;938
2021.01.25;00:33:54;24,0;36,9;8,0;400;946
2021.01.25;00:34:22;24,0;36,7;8,0;400;937
2021.01.25;00:34:41;24,0;36,6;8,0;402;931
2021.01.25;00:34:59;24,0;36,7;8,0;403;971
2021.01.25;00:35:18;24,0;36,6;8,0;408;915
