Datum;Uhrzeit;T-DHT22;FR-DHT22;FA-DHT22;CO2-CCS811;CO2-PASCO2
2021.01.26;00:01:01;24,2;42,5;9,4;407;1467
2021.01.26;00:01:20;24,2;41,8;9,2;407;1476
2021.01.26;00:01:38;24,2;42,5;9,4;402;1479
2021.01.26;00:01:57;24,2;42,4;9,3;403;1479
2021.01.26;00:02:25;24,2;42,5;9,4;402;1452
2021.01.26;00:02:43;24,1;42,3;9,3;402;1469
2021.01.26;00:03:02;24,2;42,4;9,3;402;1480
2021.01.26;00:03:20;24,2;42,2;9,3;403;1483
2021.01.26;00:03:49;24,2;42,5;9,4;408;1481
2021.01.26;00:04:07;24,2;42,3;9,3;413;1472
2021.01.26;00:04:26;24,1;42,7;9,3;413;1486
2021.01.26;00:04:44;24,1;42,4;9,3;409;1480
2021.01.26;00:05:12;24,1;42,9;9,4;408;1494
2021.01.26;00:05:31;24,1;42,7;9,3;405;1490
2021.01.26;00:05:49;24,2;42,6;9,4;405;1484
2021.01.26;00:06:08;24,2;42,7;9,4;402;1488
2021.01.26;00:06:36;24,1;42,7;9,3;405;1486
2021.01.26;00:06:54;24,2;42,8;9,4;408;1486
2021.01.26;00:07:13;24,2;42,4;9,3;400;1488
2021.01.26;00:07:31;24,2;42,6;9,4;402;1492
2021.01.26;00:07:59;24,2;42,8;9,4;402;1476
2021.01.26;00:08:18;24,2;42,2;9,3;407;1478
2021.01.26;00:08:36;24,2;42,7;9,4;400;1474
2021.01.26;00:08:55;24,2;42,5;9,4;402;1478
2021.01.26;00:09:23;24,3;42,6;9,4;400;1471
2021.01.26;00:09:42;24,2;42,5;9,4;403;1477
2021.01.26;00:10:00;24,2;42,6;9,4;403;1437
2021.01.26;00:10:19;24,2;42,0;9,2;406;1479
2021.01.26;00:10:47;24,2;42,5;9,4;402;1459
2021.01.26;00:11:05;24,2;42,3;9,3;403;1470
2021.01.26;00:11:24;24,2;42,4;9,3;400;1480
2021.01.26;00:11:42;24,2;42,4;9,3;408;1470
2021.01.26;00:12:10;24,2;42,3;9,3;407;1458
2021.01.26;00:12:29;24,2;42,3;9,3;402;1469
2021.01.26;00:12:47;24,2;42,5;9,4;403;1474
2021.01.26;00:13:06;24,2;42,4;9,3;403;1471
2021.01.26;00:13:34;24,1;42,3;9,3;403;1472
2021.01.26;00:13:52;24,1;42,2;9,2;403;1477
2021.01.26;00:14:11;24,1;42,1;9,2;400;1468
2021.01.26;00:14:29;24,1;42,3;9,3;406;1465
2021.01.26;00:14:58;24,2;42,5;9,4;407;1475
2021.01.26;00:15:16;24,1;42,2;9,2;400;1456
2021.01.26;00:15:35;24,1;42,4;9,3;406;1457
2021.01.26;00:15:53;24,2;42,4;9,3;402;1457
2021.01.26;00:16:21;24,1;42,4;9,3;405;1436
2021.01.26;00:16:40;24,1;42,1;9,2;405;1459
2021.01.26;00:16:58;24,2;42,3;9,3;403;1454
2021.01.26;00:17:17;24,1;42,3;9,3;400;1455
2021.01.26;00:17:45;24,2;42,4;9,3;408;1463
2021.01.26;00:18:03;24,1;42,1;9,2;400;1462
2021.01.26;00:18:22;24,1;42,5;9,3;403;1458
2021.01.26;00:18:40;24,1;42,3;9,3;405;1454
2021.01.26;00:19:08;24,1;42,3;9,3;408;1445
2021.01.26;00:19:27;24,0;42,1;9,2;408;1447
