Datum;Uhrzeit;T-DHT22;FR-DHT22;FA-DHT22;CO2-CCS811;CO2-PASCO2
2021.01.27;11:20:03;err;err;err;0;384
2021.01.27;11:20:24;err;err;err;400;391
2021.01.27;11:20:44;err;err;err;400;400
2021.01.27;11:21:02;err;err;err;400;402
2021.01.27;11:21:32;12,5;40,5;4,5;400;409
2021.01.27;11:21:50;12,5;39,9;4,4;400;411
2021.01.27;11:22:09;12,6;40,3;4,5;400;427
2021.01.27;11:22:27;12,6;40,2;4,4;400;433
2021.01.27;11:22:56;12,7;40,9;4,6;400;421
2021.01.27;11:23:14;12,8;40,0;4,5;402;476
2021.01.27;11:23:33;12,8;40,9;4,6;400;440
2021.01.27;11:23:51;12,8;40,7;4,6;400;473
2021.01.27;11:24:23;12,9;40,5;4,6;400;449
2021.01.27;11:24:41;12,9;39,9;4,5;405;454
2021.01.27;11:25:00;13,0;39,9;4,5;405;470
2021.01.27;11:25:18;13,0;40,2;4,6;400;468
2021.01.27;11:25:47;13,1;40,3;4,6;400;472
2021.01.27;11:26:06;13,1;40,0;4,6;400;469
2021.01.27;11:26:24;13,2;39,2;4,5;473;473
2021.01.27;11:26:43;13,2;39,3;4,5;400;457
2021.01.27;11:27:11;13,4;38,9;4,5;400;453
2021.01.27;11:27:30;13,3;38,5;4,4;400;447
2021.01.27;11:27:48;13,4;38,5;4,5;400;444
2021.01.27;11:28:07;13,5;39,5;4,6;400;439
2021.01.27;11:28:35;13,6;38,4;4,5;485;444
2021.01.27;11:28:54;13,5;37,8;4,4;400;435
2021.01.27;11:29:12;13,6;38,1;4,5;400;424
2021.01.27;11:29:31;13,6;38,7;4,6;414;434
2021.01.27;11:30:05;13,6;38,9;4,6;414;443
2021.01.27;11:30:24;13,6;38,7;4,6;400;438
2021.01.27;11:30:43;13,6;38,9;4,6;400;437
2021.01.27;11:31:01;13,6;38,5;4,5;400;441
2021.01.27;11:31:33;13,7;38,3;4,5;400;458
2021.01.27;11:31:52;13,6;38,3;4,5;427;441
2021.01.27;11:32:10;13,7;38,8;4,6;410;433
2021.01.27;11:32:29;13,7;38,4;4,5;403;424
2021.01.27;11:33:03;err;err;err;406;423
2021.01.27;11:33:21;err;err;err;400;426
2021.01.27;11:33:40;err;err;err;409;434
2021.01.27;11:33:59;err;err;err;402;429
2021.01.27;11:34:30;13,8;38,5;4,6;408;422
2021.01.27;11:34:48;13,8;38,2;4,6;400;423
2021.01.27;11:35:07;13,8;37,4;4,5;409;416
2021.01.27;11:35:25;13,8;37,4;4,5;400;427
2021.01.27;11:35:56;13,8;38,9;4,6;409;444
2021.01.27;11:36:14;13,8;38,4;4,6;409;464
2021.01.27;11:36:33;13,8;38,7;4,6;400;463
2021.01.27;11:36:51;13,9;37,9;4,5;403;456
2021.01.27;11:37:22;13,9;38,2;4,6;406;449
2021.01.27;11:37:40;13,8;38,7;4,6;400;448
2021.01.27;11:37:59;13,9;37,6;4,5;400;455
2021.01.27;11:38:17;14,0;37,6;4,5;400;477
2021.01.27;11:38:46;14,0;38,1;4,6;400;464
2021.01.27;11:39:04;14,0;38,1;4,6;447;440
2021.01.27;11:39:23;14,0;37,0;4,5;402;462
2021.01.27;11:39:41;14,0;37,1;4,5;452;465
2021.01.27;11:40:10;14,0;38,2;4,6;408;474
2021.01.27;11:40:28;13,9;37,7;4,5;403;469
2021.01.27;11:40:47;14,0;38,4;4,6;410;472
2021.01.27;11:41:05;14,0;37,1;4,5;400;478
2021.01.27;11:41:34;14,1;37,5;4,5;405;465
2021.01.27;11:41:52;14,0;37,2;4,5;400;443
2021.01.27;11:42:11;14,0;37,1;4,5;405;451
2021.01.27;11:42:29;14,0;37,3;4,5;407;474
2021.01.27;11:43:00;14,0;38,5;4,6;411;456
2021.01.27;11:43:19;13,9;37,8;4,5;411;488
2021.01.27;11:43:37;14,0;37,6;4,5;402;485
2021.01.27;11:43:56;14,0;37,4;4,5;422;485
2021.01.27;11:44:26;14,0;37,9;4,6;405;493
2021.01.27;11:44:45;14,1;37,7;4,6;400;495
2021.01.27;11:45:03;14,0;36,8;4,4;400;499
2021.01.27;11:45:22;14,1;37,4;4,5;400;501
2021.01.27;11:45:52;14,1;36,8;4,5;407;505
2021.01.27;11:46:10;14,1;38,1;4,6;403;520
2021.01.27;11:46:29;14,1;37,2;4,5;408;524
2021.01.27;11:46:47;14,1;37,1;4,5;400;479
2021.01.27;11:47:16;14,2;37,9;4,6;400;472
2021.01.27;11:47:34;14,1;37,9;4,6;400;463
2021.01.27;11:47:53;14,1;37,0;4,5;408;483
2021.01.27;11:48:12;14,1;38,7;4,7;408;492
2021.01.27;11:48:40;14,1;36,8;4,5;414;524
2021.01.27;11:48:59;14,1;36,7;4,5;403;520
2021.01.27;11:49:17;14,2;37,0;4,5;403;494
2021.01.27;11:49:36;14,2;37,4;4,6;403;512
2021.01.27;11:50:04;14,2;37,3;4,6;417;519
2021.01.27;11:50:23;14,1;38,1;4,6;400;514
2021.01.27;11:50:41;14,2;37,7;4,6;400;500
