Datum;Uhrzeit;T-DHT22;FR-DHT22;FA-DHT22;CO2-CCS811;CO2-PASCO2
2021:01:24;16:55:44;23,9;35,1;7,6;400;640
2021:01:24;16:56:02;23,9;34,9;7,6;400;685
2021:01:24;17:06:51;20,5;25,7;4,6;0;373
2021:01:24;17:07:12;20,3;25,5;4,5;400;369
2021:01:24;17:07:31;20,1;26,1;4,5;400;367
2021:01:24;17:07:49;20,0;25,9;4,5;400;375
2021:01:24;17:08:17;19,8;26,1;4,5;400;368
2021:01:24;17:08:36;19,7;25,9;4,4;400;361
2021:01:24;17:08:54;19,7;26,2;4,4;400;352
2021:01:24;17:09:13;19,7;25,7;4,4;400;354
2021:01:24;17:09:41;19,6;25,1;4,2;400;345
2021:01:24;17:09:59;19,6;25,8;4,4;403;358
2021:01:24;17:10:18;19,5;26,4;4,4;400;350
2021:01:24;17:10:36;19,5;25,1;4,2;411;347
2021:01:24;17:11:05;19,6;28,5;4,8;428;357
2021:01:24;17:11:23;19,6;28,5;4,8;402;368
2021:01:24;17:11:41;19,8;28,0;4,8;406;366
2021:01:24;17:12:00;19,9;28,6;4,9;418;372
2021:01:24;17:12:28;20,3;29,6;5,2;418;401
2021:01:24;17:12:47;20,3;29,4;5,2;407;411
2021:01:24;17:13:05;20,5;29,4;5,2;408;417
2021:01:24;17:13:24;20,6;29,7;5,3;414;425
2021:01:24;17:13:52;20,9;31,5;5,7;421;442
2021:01:24;17:14:10;20,9;31,6;5,8;409;438
2021:01:24;17:14:29;21,0;31,4;5,8;409;459
2021:01:24;17:14:47;21,2;32,1;5,9;409;457
2021:01:24;17:15:15;21,4;32,6;6,1;416;504
2021:01:24;17:15:34;21,4;33,1;6,2;414;509
2021:01:24;17:15:52;21,6;32,9;6,2;400;522
2021:01:24;17:16:11;21,6;32,9;6,2;405;527
2021:01:24;17:16:39;21,8;32,6;6,3;400;525
2021:01:24;17:16:58;21,7;32,4;6,2;414;516
2021:01:24;17:17:16;21,8;32,6;6,3;403;530
2021:01:24;17:17:35;21,9;32,7;6,3;406;535
2021:01:24;17:18:03;22,1;32,7;6,4;403;528
2021:01:24;17:18:21;22,1;32,7;6,4;407;528
2021:01:24;17:18:40;22,2;32,6;6,4;400;516
2021:01:24;17:18:58;22,2;32,5;6,4;402;530
2021:01:24;17:19:26;22,4;32,5;6,5;400;531
2021:01:24;17:19:45;22,4;32,5;6,5;406;525
2021:01:24;17:20:03;22,4;32,3;6,4;415;539
2021:01:24;17:20:22;22,4;32,4;6,4;402;536
2021:01:24;17:20:50;22,6;32,5;6,5;406;528
2021:01:24;17:21:08;22,6;32,2;6,5;402;525
2021:01:24;17:21:27;22,6;32,3;6,5;409;543
2021:01:24;17:21:45;22,7;32,3;6,5;413;521
2021:01:24;17:22:14;22,8;32,3;6,6;409;548
2021:01:24;17:22:32;22,8;31,8;6,5;400;558
2021:01:24;17:22:51;22,8;32,1;6,5;403;553
2021:01:24;17:23:09;22,9;32,0;6,5;403;564
2021:01:24;17:23:37;22,9;31,9;6,5;400;544
2021:01:24;17:23:56;22,9;31,8;6,5;406;552
2021:01:24;17:24:14;22,9;32,1;6,6;405;558
2021:01:24;17:24:33;22,9;32,0;6,5;405;563
2021:01:24;17:25:01;23,1;32,1;6,6;415;570
2021:01:24;17:25:19;23,0;31,4;6,5;410;568
2021:01:24;17:25:38;23,1;32,0;6,6;408;559
2021:01:24;17:25:56;23,1;31,9;6,6;410;567
2021:01:24;17:26:25;23,1;30,8;6,4;405;557
2021:01:24;17:26:43;23,1;31,8;6,6;400;560
2021:01:24;17:27:02;23,1;32,0;6,6;413;553
2021:01:24;17:27:20;23,2;31,9;6,6;410;552
2021:01:24;17:27:48;23,2;32,0;6,7;409;566
2021:01:24;17:28:07;23,2;31,9;6,6;414;558
2021:01:24;17:28:25;23,3;31,8;6,7;406;566
2021:01:24;17:28:44;23,3;32,3;6,8;400;556
2021:01:24;17:29:12;23,3;32,1;6,7;416;556
2021:01:24;17:29:30;23,3;31,1;6,5;414;561
2021:01:24;17:29:49;23,4;32,1;6,8;409;560
2021:01:24;17:30:07;23,4;32,0;6,7;411;558
2021:01:24;17:30:36;23,4;32,1;6,8;405;555
2021:01:24;17:30:54;23,4;31,8;6,7;406;570
2021:01:24;17:31:13;23,4;32,3;6,8;409;556
2021:01:24;17:31:31;23,4;32,0;6,7;409;558
2021:01:24;17:31:59;23,4;32,0;6,7;409;553
2021:01:24;17:32:18;23,5;31,9;6,7;410;549
2021:01:24;17:32:36;23,5;32,1;6,8;414;559
2021:01:24;17:32:55;23,5;32,1;6,8;400;565
2021:01:24;17:33:23;23,5;32,1;6,8;413;563
2021:01:24;17:33:41;23,5;31,9;6,7;407;564
2021:01:24;17:34:00;23,5;32,1;6,8;406;573
2021:01:24;17:34:18;23,5;32,0;6,8;402;560
2021:01:24;17:34:46;23,6;32,2;6,9;402;571
2021:01:24;17:35:05;23,6;32,1;6,8;406;571
2021:01:24;17:35:23;23,5;32,0;6,8;409;564
2021:01:24;17:35:42;23,6;31,9;6,8;407;568
2021:01:24;17:36:10;23,6;32,3;6,9;406;569
2021:01:24;17:36:29;23,6;32,1;6,8;409;573
2021:01:24;17:36:47;23,6;32,2;6,9;413;565
2021:01:24;17:37:06;23,6;32,1;6,8;400;559
2021:01:24;17:37:34;23,6;32,3;6,9;403;569
2021:01:24;17:37:52;23,7;32,1;6,9;403;563
2021:01:24;17:38:11;23,7;32,3;6,9;400;573
2021:01:24;17:38:29;23,7;32,2;6,9;410;563
2021:01:24;17:38:57;23,7;32,0;6,8;410;553
2021:01:24;17:39:16;23,7;32,2;6,9;406;563
2021:01:24;17:39:34;23,7;32,0;6,8;406;576
2021:01:24;17:39:53;23,7;32,3;6,9;410;566
2021:01:24;17:40:21;23,7;32,3;6,9;400;568
2021:01:24;17:40:40;23,7;32,2;6,9;403;570
2021:01:24;17:40:58;23,7;32,3;6,9;409;578
2021:01:24;17:41:17;23,7;32,3;6,9;403;567
2021:01:24;17:41:45;23,7;32,3;6,9;400;583
2021:01:24;17:42:03;23,7;32,2;6,9;408;566
2021:01:24;17:42:22;23,7;32,3;6,9;410;575
2021:01:24;17:42:40;23,7;32,2;6,9;410;569
2021:01:24;17:43:08;23,7;32,4;6,9;417;581
2021:01:24;17:43:27;23,7;32,3;6,9;414;559
2021:01:24;17:43:45;23,7;32,2;6,9;407;572
2021:01:24;17:44:04;23,7;32,4;6,9;414;573
2021:01:24;17:44:32;23,8;32,5;7,0;402;576
2021:01:24;17:44:51;23,8;32,3;7,0;407;582
2021:01:24;17:45:09;23,8;32,4;7,0;409;577
2021:01:24;17:45:28;23,8;32,6;7,0;406;573
2021:01:24;17:45:56;23,8;32,6;7,0;414;583
2021:01:24;17:46:14;23,8;31,9;6,9;410;609
2021:01:24;17:46:33;23,9;32,2;7,0;410;573
2021:01:24;17:46:51;23,8;32,5;7,0;408;562
2021:01:24;17:47:19;23,8;32,5;7,0;408;570
2021:01:24;17:47:38;23,8;32,2;6,9;403;606
2021:01:24;17:47:56;23,8;32,4;7,0;414;576
2021:01:24;17:48:15;23,8;32,2;6,9;403;566
2021:01:24;17:48:43;23,8;32,6;7,0;406;581
