,Datum;Uhrzeit;T-DHT22;FR-DHT22;FA-DHT22;CO2-CCS811
2021.01.05;00:00:53;21,0;39,6;7,3;417
2021.01.05;00:01:09;20,9;40,4;7,4;403
2021.01.05;00:01:24;21,0;40,6;7,4;480
2021.01.05;00:01:39;21,0;40,6;7,4;409
2021.01.05;00:02:01;21,0;39,5;7,2;425
2021.01.05;00:02:16;21,0;40,1;7,3;400
2021.01.05;00:02:31;21,0;40,5;7,4;403
2021.01.05;00:02:47;21,0;40,5;7,4;400
2021.01.05;00:03:08;21,0;39,4;7,2;403
2021.01.05;00:03:24;21,0;40,5;7,4;400
2021.01.05;00:03:39;21,0;40,3;7,4;466
2021.01.05;00:03:54;21,0;40,7;7,5;408
2021.01.05;00:04:16;21,0;40,7;7,5;403
2021.01.05;00:04:31;21,0;40,5;7,4;400
2021.01.05;00:04:47;20,9;40,1;7,3;435
2021.01.05;00:05:02;21,0;40,4;7,4;433
2021.01.05;00:05:24;21,0;39,4;7,2;480
2021.01.05;00:05:39;21,0;40,4;7,4;473
2021.01.05;00:05:54;21,0;40,6;7,4;406
2021.01.05;00:06:10;21,0;40,5;7,4;406
2021.01.05;00:06:31;21,0;39,4;7,2;409
2021.01.05;00:06:47;21,0;40,3;7,4;405
2021.01.05;00:07:02;20,9;40,4;7,4;406
2021.01.05;00:07:17;20,9;40,5;7,4;473
2021.01.05;00:07:39;21,0;39,4;7,2;480
2021.01.05;00:07:54;20,9;40,1;7,3;406
2021.01.05;00:08:10;21,0;40,4;7,4;400
2021.01.05;00:08:25;21,0;40,4;7,4;400
2021.01.05;00:08:47;20,9;39,1;7,1;400
2021.01.05;00:09:02;20,9;40,1;7,3;436
2021.01.05;00:09:17;21,0;40,4;7,4;400
2021.01.05;00:09:33;21,0;40,3;7,4;403
2021.01.05;00:09:54;20,9;39,0;7,1;403
2021.01.05;00:10:10;21,0;40,2;7,4;406
2021.01.05;00:10:25;20,9;40,4;7,4;417
2021.01.05;00:10:40;21,0;40,3;7,4;400
2021.01.05;00:11:02;21,0;40,6;7,4;411
2021.01.05;00:11:17;20,9;40,3;7,3;403
2021.01.05;00:11:33;21,0;40,9;7,5;402
2021.01.05;00:11:48;21,0;40,7;7,5;405
2021.01.05;00:12:10;21,0;41,0;7,5;409
2021.01.05;00:12:25;21,0;40,7;7,5;403
2021.01.05;00:12:40;21,0;40,8;7,5;407
2021.01.05;00:12:56;21,0;41,0;7,5;402
2021.01.05;00:13:17;21,1;40,4;7,4;409
2021.01.05;00:13:33;21,0;41,5;7,6;425
2021.01.05;00:13:48;21,0;41,6;7,6;411
2021.01.05;00:14:03;21,0;42,1;7,7;408
2021.01.05;00:14:25;21,0;40,8;7,5;409
2021.01.05;00:14:40;21,1;42,0;7,7;423
2021.01.05;00:14:55;21,0;41,6;7,6;418
2021.01.05;00:15:11;21,1;41,9;7,7;402
2021.01.05;00:15:32;21,1;40,5;7,5;400
2021.01.05;00:15:48;21,0;41,5;7,6;427
2021.01.05;00:16:03;21,0;41,3;7,6;400
2021.01.05;00:16:18;21,0;41,5;7,6;434
2021.01.05;00:16:40;21,0;40,3;7,4;400
2021.01.05;00:16:55;21,1;41,2;7,6;482
2021.01.05;00:17:11;21,1;41,4;7,6;450
2021.01.05;00:17:26;21,0;41,3;7,6;405
2021.01.05;00:17:48;21,1;41,5;7,6;406
2021.01.05;00:18:03;21,1;41,3;7,6;400
2021.01.05;00:18:18;21,1;41,1;7,6;400
2021.01.05;00:18:34;21,1;41,2;7,6;403
2021.01.05;00:18:55;21,0;40,0;7,3;427
2021.01.05;00:19:11;21,0;41,0;7,5;403
2021.01.05;00:19:26;21,0;41,1;7,5;403
2021.01.05;00:19:41;21,1;41,2;7,6;400
2021.01.05;00:20:03;21,1;40,1;7,4;403
2021.01.05;00:20:18;21,0;41,1;7,5;481
2021.01.05;00:20:34;21,0;40,8;7,5;414
2021.01.05;00:20:49;21,1;41,1;7,6;424
2021.01.05;00:21:11;21,1;41,4;7,6;476
2021.01.05;00:21:26;21,1;41,2;7,6;400
2021.01.05;00:21:41;21,0;40,9;7,5;400
2021.01.05;00:21:57;21,1;41,2;7,6;400
2021.01.05;00:22:18;21,1;41,3;7,6;481
2021.01.05;00:22:34;21,1;40,1;7,4;403
2021.01.05;00:22:49;21,1;41,3;7,6;435
2021.01.05;00:23:04;21,0;41,3;7,6;452
2021.01.05;00:23:26;21,1;41,0;7,6;565
2021.01.05;00:23:41;21,1;42,1;7,8;456
2021.01.05;00:23:56;21,1;42,2;7,8;459
2021.01.05;00:24:12;21,0;42,4;7,8;452
2021.01.05;00:24:33;21,0;42,8;7,8;465
2021.01.05;00:24:49;21,0;42,6;7,8;424
2021.01.05;00:25:04;21,0;43,1;7,9;407
2021.01.05;00:25:19;21,0;42,8;7,8;426
2021.01.05;00:25:41;21,1;43,0;7,9;416
2021.01.05;00:25:56;21,1;42,8;7,9;409
2021.01.05;00:26:12;21,1;42,7;7,9;423
2021.01.05;00:26:27;21,1;43,2;8,0;488
2021.01.05;00:26:49;21,1;42,0;7,7;413
2021.01.05;00:27:04;21,1;43,1;7,9;405
2021.01.05;00:27:19;21,1;43,3;8,0;400
2021.01.05;00:27:35;21,1;42,0;7,7;413
2021.01.05;00:27:56;21,1;41,9;7,7;408
2021.01.05;00:28:12;21,1;42,9;7,9;408
2021.01.05;00:28:27;21,1;42,9;7,9;410
2021.01.05;00:28:42;21,2;43,3;8,0;408
2021.01.05;00:29:04;21,1;41,9;7,7;403
2021.01.05;00:29:19;21,1;42,9;7,9;423
2021.01.05;00:29:35;21,1;43,3;8,0;403
2021.01.05;00:29:50;21,1;43,2;8,0;403
2021.01.05;00:30:12;21,1;42,0;7,7;408
2021.01.05;00:30:27;21,1;43,2;8,0;400
2021.01.05;00:30:42;21,1;43,3;8,0;425
2021.01.05;00:30:58;21,1;43,0;7,9;400
2021.01.05;00:31:19;21,1;43,3;8,0;403
2021.01.05;00:31:35;21,1;43,2;8,0;470
2021.01.05;00:31:50;21,1;43,1;7,9;407
2021.01.05;00:32:05;21,1;43,2;8,0;413
2021.01.05;00:32:27;21,2;43,4;8,0;411
2021.01.05;00:32:42;21,1;43,1;7,9;400
2021.01.05;00:32:58;21,2;42,9;8,0;465
2021.01.05;00:33:13;21,1;42,9;7,9;400
2021.01.05;00:33:35;21,2;41,9;7,8;414
2021.01.05;00:33:50;21,2;42,8;7,9;408
2021.01.05;00:34:05;21,1;42,5;7,8;418
2021.01.05;00:34:21;21,2;43,1;8,0;432
2021.01.05;00:34:42;21,2;43,2;8,0;411
2021.01.05;00:34:57;21,2;43,0;8,0;477
2021.01.05;00:35:13;21,2;43,2;8,0;400
2021.01.05;00:35:28;21,1;42,9;7,9;406
2021.01.05;00:35:50;21,1;41,7;7,7;400
2021.01.05;00:36:05;21,1;42,8;7,9;400
2021.01.05;00:36:20;21,1;42,6;7,8;400
2021.01.05;00:36:36;21,1;42,7;7,9;424
2021.01.05;00:36:57;21,2;43,0;8,0;405
2021.01.05;00:37:13;21,1;42,6;7,8;403
2021.01.05;00:37:28;21,1;42,6;7,8;400
2021.01.05;00:37:43;21,1;42,5;7,8;402
2021.01.05;00:38:05;21,1;41,5;7,6;400
2021.01.05;00:38:20;21,1;42,7;7,9;400
2021.01.05;00:38:36;21,1;42,3;7,8;400
2021.01.05;00:38:51;21,1;42,5;7,8;422
2021.01.05;00:39:13;21,1;42,6;7,8;400
2021.01.05;00:39:28;21,1;42,3;7,8;400
2021.01.05;00:39:43;21,1;42,4;7,8;416
2021.01.05;00:39:59;21,1;42,5;7,8;400
2021.01.05;00:40:20;21,2;41,3;7,7;400
2021.01.05;00:40:36;21,1;42,3;7,8;408
2021.01.05;00:40:51;21,1;42,4;7,8;400
2021.01.05;00:41:06;21,1;42,4;7,8;400
2021.01.05;00:41:28;21,1;41,3;7,6;400
2021.01.05;00:41:43;21,1;41,5;7,6;400
2021.01.05;00:41:59;21,1;42,4;7,8;400
2021.01.05;00:42:14;21,1;42,4;7,8;400
2021.01.05;00:42:36;21,1;41,2;7,6;400
2021.01.05;00:42:51;21,1;42,2;7,8;424
2021.01.05;00:43:06;21,1;42,3;7,8;400
2021.01.05;00:43:22;21,1;41,1;7,6;400
2021.01.05;00:43:43;21,1;42,5;7,8;400
2021.01.05;00:43:59;21,1;42,1;7,8;400
2021.01.05;00:44:14;21,1;42,0;7,7;405
2021.01.05;00:44:29;21,1;42,1;7,8;400
2021.01.05;00:44:51;21,1;40,9;7,5;406
2021.01.05;00:45:06;21,1;41,9;7,7;420
2021.01.05;00:45:22;21,1;42,0;7,7;400
2021.01.05;00:45:37;21,1;42,0;7,7;487
2021.01.05;00:45:59;21,1;41,2;7,6;400
2021.01.05;00:46:14;21,0;41,8;7,7;400
2021.01.05;00:46:29;21,0;42,0;7,7;414
2021.01.05;00:46:45;21,1;41,9;7,7;408
